Learning Rate, Gamma, Reward 
0.1, 0.3, -111.0
0.1, 0.3, -62.0
0.1, 0.3, -5.0
0.1, 0.35, -596.0
0.1, 0.35, -1313.0
0.1, 0.35, -268.0
0.1, 0.35, -435.0
0.1, 0.35, -1446.0
0.1, 0.35, -803.0
0.1, 0.35, -984.0
0.1, 0.35, -780.0
0.1, 0.35, -864.0
0.1, 0.35, -143.0
0.1, 0.35, -995.0
0.1, 0.35, -162.0
0.1, 0.35, -490.0
0.1, 0.35, -133.0
0.1, 0.35, -504.0
0.1, 0.35, -69.0
0.1, 0.35, -360.0
0.1, 0.35, -1013.0
0.1, 0.35, -1093.0
0.1, 0.35, -189.0
0.1, 0.35, -150.0
0.1, 0.35, -351.0
0.1, 0.35, -56.0
0.1, 0.35, -1002.0
0.1, 0.35, -301.0
0.1, 0.35, -51.0
0.1, 0.35, -209.0
0.1, 0.35, -364.0
0.1, 0.35, -272.0
0.1, 0.35, -329.0
0.1, 0.35, -211.0
0.1, 0.35, -124.0
0.1, 0.35, -101.0
0.1, 0.35, -143.0
0.1, 0.35, -37.0
0.1, 0.35, -804.0
0.1, 0.35, -93.0
0.1, 0.35, -511.0
0.1, 0.35, -707.0
0.1, 0.35, -252.0
0.1, 0.35, -45.0
0.1, 0.35, -254.0
0.1, 0.35, -269.0
0.1, 0.35, -216.0
0.1, 0.35, -95.0
0.1, 0.35, -165.0
0.1, 0.35, -96.0
0.1, 0.35, -161.0
0.1, 0.35, -141.0
0.1, 0.35, -34.0
0.1, 0.35, -32.0
0.1, 0.35, -65.0
0.1, 0.35, -134.0
0.1, 0.35, 17.0
0.1, 0.35, -104.0
0.1, 0.35, -255.0
0.1, 0.35, -4.0
0.1, 0.35, -536.0
0.1, 0.35, -728.0
0.1, 0.35, -85.0
0.1, 0.35, 3.0
0.1, 0.35, -363.0
0.1, 0.35, -105.0
0.1, 0.35, -418.0
0.1, 0.35, -40.0
0.1, 0.35, 18.0
0.1, 0.35, -85.0
0.1, 0.35, -16.0
0.1, 0.35, -23.0
0.1, 0.35, -176.0
0.1, 0.35, -167.0
0.1, 0.35, -30.0
0.1, 0.35, -16.0
0.1, 0.35, -97.0
0.1, 0.35, -23.0
0.1, 0.35, 13.0
0.1, 0.35, -45.0
